"date","plotid","plotremeasure","country","location","stand","standshort","plot","subplot","lng","lat","plotsize","plottype","altitude_m","slope","aspect","landform","hillform","foresttype"
2011,"ROM_CAL_185","new","Romania","Calimani","Cajmrsk","CAL","185",0,25.28334,47.143485,1000,"circleSpruce",1651,33,285,3,1,"spruce"
2016,"ROM_CAL_185","partial","Romania","Calimani","Cajmrsk","CAL","185",0,25.2833716106,47.143510338,1500,"circleSpruce",1652,33,285,3,1,"spruce"
2011,"ROM_CAL_207","new","Romania","Calimani","Cajmrsk","CAL","207",0,25.283069,47.14470833,500,"circleSpruce",1617,38,310,3,1,"spruce"
2016,"ROM_CAL_207","partial","Romania","Calimani","Cajmrsk","CAL","207",0,25.2831359418,47.1447024258,1500,"circleSpruce",1619,38,310,3,1,"spruce"
2011,"ROM_CAL_229","new","Romania","Calimani","Cajmrsk","CAL","229",0,25.28412183,47.145536,500,"circleSpruce",1611,43,285,1,1,"spruce"
2016,"ROM_CAL_229","partial","Romania","Calimani","Cajmrsk","CAL","229",0,25.2841995995,47.1456818085,1500,"circleSpruce",1612,43,285,1,1,"spruce"
2011,"ROM_CAL_230","new","Romania","Calimani","Cajmrsk","CAL","230",0,25.28521967,47.14561367,1000,"circleSpruce",1638,37,315,1,1,"spruce"
2016,"ROM_CAL_230","partial","Romania","Calimani","Cajmrsk","CAL","230",0,25.2853016377,47.1455546272,1500,"circleSpruce",1639,37,315,1,1,"spruce"
2011,"ROM_CAL_447","new","Romania","Calimani","Dragus","CAL","447",0,25.20202117,47.06320933,500,"circleSpruce",1565,28,130,3,2,"spruce"
2016,"ROM_CAL_447","partial","Romania","Calimani","Dragus","CAL","447",0,25.2020515205,47.0631401709,1500,"circleSpruce",1557,28,130,3,2,"spruce"
2011,"ROM_CAL_483","new","Romania","Calimani","Dragus","CAL","483",0,25.2027,47.06498083,1000,"circleSpruce",1596,29,125,3,2,"spruce"
2016,"ROM_CAL_483","partial","Romania","Calimani","Dragus","CAL","483",0,25.2026375071,47.0650234676,1500,"circleSpruce",1600,29,125,3,2,"spruce"
2011,"ROM_CAL_484","new","Romania","Calimani","Dragus","CAL","484",0,25.20472917,47.06470733,1000,"circleSpruce",1533,26,180,3,2,"spruce"
2016,"ROM_CAL_484","partial","Romania","Calimani","Dragus","CAL","484",0,25.2046558488,47.0648130003,1500,"circleSpruce",1534,26,180,3,2,"spruce"
2011,"ROM_CAL_514","new","Romania","Calimani","Kota1618","CAL","514",0,25.19351017,47.0654705,500,"circleSpruce",1470,23,180,3,2,"spruce"
2016,"ROM_CAL_514","partial","Romania","Calimani","Kota1618","CAL","514",0,25.1933147596,47.0656264667,1500,"circleSpruce",1473,23,180,3,2,"spruce"
2011,"ROM_CAL_515","new","Romania","Calimani","Kota1618","CAL","515",0,25.19472667,47.0659,500,"circleSpruce",1497,28,220,3,2,"spruce"
2016,"ROM_CAL_515","partial","Romania","Calimani","Kota1618","CAL","515",0,25.1946877289,47.0658570645,1500,"circleSpruce",1493,28,220,3,2,"spruce"
2011,"ROM_CAL_519","new","Romania","Calimani","Dragus","CAL","519",0,25.20214833,47.06601167,1000,"circleSpruce",1634,25,145,3,1,"spruce"
2016,"ROM_CAL_519","partial","Romania","Calimani","Dragus","CAL","519",0,25.2021575898,47.0658986824,1500,"circleSpruce",1633,25,145,3,1,"spruce"
2011,"ROM_CAL_520","new","Romania","Calimani","Dragus","CAL","520",0,25.2037355,47.06636183,1000,"circleSpruce",1614,32,195,2,1,"spruce"
2016,"ROM_CAL_520","partial","Romania","Calimani","Dragus","CAL","520",0,25.2037424755,47.066283896,1500,"circleSpruce",1611,32,195,2,1,"spruce"
2011,"ROM_CAL_521","new","Romania","Calimani","Dragus","CAL","521",0,25.20595633,47.06570733,500,"circleSpruce",1577,28,195,3,2,"spruce"
2016,"ROM_CAL_521","partial","Romania","Calimani","Dragus","CAL","521",0,25.2059897744,47.0658684279,1500,"circleSpruce",1581,28,195,3,2,"spruce"
2011,"ROM_CAL_549","new","Romania","Calimani","Kota1618","CAL","549",0,25.1909055,47.06708133,500,"circleSpruce",1517,25,180,3,2,"spruce"
2016,"ROM_CAL_549","partial","Romania","Calimani","Kota1618","CAL","549",0,25.1908503577,47.0670660078,1500,"circleSpruce",1517,25,184,3,2,"spruce"
2011,"ROM_CAL_550","new","Romania","Calimani","Kota1618","CAL","550",0,25.19277967,47.066943,500,"circleSpruce",1544,16,235,2,2,"spruce"
2016,"ROM_CAL_550","partial","Romania","Calimani","Kota1618","CAL","550",0,25.1928407439,47.0669648202,1500,"circleSpruce",1542,19,235,2,2,"spruce"
2011,"ROM_CAL_551","new","Romania","Calimani","Kota1618","CAL","551",0,25.19532983,47.06683583,500,"circleSpruce",1537,20,240,3,2,"spruce"
2016,"ROM_CAL_551","partial","Romania","Calimani","Kota1618","CAL","551",0,25.1953164066,47.0668348141,1500,"circleSpruce",1537,20,240,3,2,"spruce"
2011,"ROM_CAL_567","new","Romania","Calimani","Kokos","CAL","567",0,25.22479383,47.06737983,1000,"circleSpruce",1506,18,235,3,2,"spruce"
2016,"ROM_CAL_567","partial","Romania","Calimani","Kokos","CAL","567",0,25.2248392195,47.0672411328,1500,"circleSpruce",1504,18,235,3,2,"spruce"
2011,"ROM_CAL_568","new","Romania","Calimani","Kokos","CAL","568",0,25.22691717,47.06754283,1000,"circleSpruce",1592,22,225,3,2,"spruce"
2016,"ROM_CAL_568","partial","Romania","Calimani","Kokos","CAL","568",0,25.2268644249,47.0674619805,1500,"circleSpruce",1589,22,225,3,2,"spruce"
2011,"ROM_CAL_603","new","Romania","Calimani","Kokos","CAL","603",0,25.22494167,47.06866933,1000,"circleSpruce",1571,23,270,4,2,"spruce"
2016,"ROM_CAL_603","partial","Romania","Calimani","Kokos","CAL","603",0,25.2248888263,47.0687578483,1500,"circleSpruce",1571,23,270,4,2,"spruce"
2011,"ROM_CAL_604","new","Romania","Calimani","Kokos","CAL","604",0,25.22657767,47.06914683,1000,"circleSpruce",1625,20,265,3,2,"spruce"
2016,"ROM_CAL_604","partial","Romania","Calimani","Kokos","CAL","604",0,25.2265766322,47.0691105243,1500,"circleSpruce",1624,20,265,3,2,"spruce"
2011,"ROM_CAL_639","new","Romania","Calimani","Kokos","CAL","639",0,25.22420833,47.069912,500,"circleSpruce",1558,15,205,3,2,"spruce"
2016,"ROM_CAL_639","partial","Romania","Calimani","Kokos","CAL","639",0,25.224204857,47.0699066857,1500,"circleSpruce",1558,15,205,3,2,"spruce"
2011,"ROM_GIU_032","new","Romania","Giumalau","Giumalau","GIU","32",0,25.47105167,47.43337,1000,"circleSpruce",1468,35,230,2,2,"spruce"
2016,"ROM_GIU_032","partial","Romania","Giumalau","Giumalau","GIU","032",0,25.4710927385,47.4334222035,1500,"circleSpruce",1470,36,226,2,2,"spruce"
2011,"ROM_GIU_046","new","Romania","Giumalau","Giumalau","GIU","46",0,25.47097667,47.43448334,1000,"circleSpruce",1511,37,225,2,2,"spruce"
2016,"ROM_GIU_046","partial","Romania","Giumalau","Giumalau","GIU","046",0,25.4709197544,47.434578759,1500,"circleSpruce",1512,37,225,2,2,"spruce"
2011,"ROM_GIU_047","new","Romania","Giumalau","Giumalau","GIU","47",0,25.46938833,47.43437,1000,"circleSpruce",1446,28,256,3,2,"spruce"
2016,"ROM_GIU_047","partial","Romania","Giumalau","Giumalau","GIU","047",0,25.4693591173,47.4344563483,1500,"circleSpruce",1449,25,235,3,2,"spruce"
2011,"ROM_GIU_059","new","Romania","Giumalau","Giumalau","GIU","59",0,25.47306833,47.435595,1000,"circleSpruce",1573,22,290,4,2,"spruce"
2016,"ROM_GIU_059","partial","Romania","Giumalau","Giumalau","GIU","059",0,25.4730589626,47.4355707107,1500,"circleSpruce",1573,22,290,4,2,"spruce"
2011,"ROM_GIU_060","new","Romania","Giumalau","Giumalau","GIU","60",0,25.471735,47.43553,1000,"circleSpruce",1527,21,275,3,2,"spruce"
2016,"ROM_GIU_060","partial","Romania","Giumalau","Giumalau","GIU","060",0,25.4717062208,47.4356028704,1500,"circleSpruce",1524,21,275,3,2,"spruce"
2011,"ROM_GIU_061","new","Romania","Giumalau","Giumalau","GIU","61",0,25.46948167,47.43582167,1000,"circleSpruce",1450,25,275,3,2,"spruce"
2016,"ROM_GIU_061","partial","Romania","Giumalau","Giumalau","GIU","061",0,25.4695912976,47.4359556503,1500,"circleSpruce",1449,25,275,3,2,"spruce"
2011,"ROM_GIU_062","new","Romania","Giumalau","Giumalau","GIU","62",0,25.46735533,47.435387,1000,"circleSpruce",1388,26,293,4,2,"spruce"
2016,"ROM_GIU_062","partial","Romania","Giumalau","Giumalau","GIU","062",0,25.4674078332,47.4353310029,1500,"circleSpruce",1387,22,293,4,2,"spruce"
2011,"ROM_GIU_063","new","Romania","Giumalau","Giumalau","GIU","63",0,25.46563,47.43568617,1000,"circleSpruce",1373,38,205,3,2,"spruce"
2016,"ROM_GIU_063","partial","Romania","Giumalau","Giumalau","GIU","063",0,25.4656272166,47.4356987478,1500,"circleSpruce",1374,36,205,3,2,"spruce"
2011,"ROM_GIU_064","new","Romania","Giumalau","Giumalau","GIU","64",0,25.46388567,47.435946,500,"circleSpruce",1335,27,218,3,3,"spruce"
2016,"ROM_GIU_064","partial","Romania","Giumalau","Giumalau","GIU","064",0,25.4639267225,47.4358978996,1500,"circleSpruce",1338,25,218,3,3,"spruce"
2011,"ROM_GIU_075","new","Romania","Giumalau","Giumalau","GIU","75",0,25.46914,47.43716334,1000,"circleSpruce",1471,28,217,2,2,"spruce"
2016,"ROM_GIU_075","partial","Romania","Giumalau","Giumalau","GIU","075",0,25.4691160274,47.437236538,1500,"circleSpruce",1475,28,217,2,2,"spruce"
2011,"ROM_GIU_076","new","Romania","Giumalau","Giumalau","GIU","76",0,25.46792783,47.43694467,1000,"circleSpruce",1453,37,168,3,2,"spruce"
2016,"ROM_GIU_076","partial","Romania","Giumalau","Giumalau","GIU","076",0,25.4680466321,47.4370031426,1500,"circleSpruce",1454,33,168,3,2,"spruce"
2011,"ROM_GIU_077","new","Romania","Giumalau","Giumalau","GIU","77",0,25.4658045,47.437148,1000,"circleSpruce",1412,20,274,3,2,"spruce"
2016,"ROM_GIU_077","partial","Romania","Giumalau","Giumalau","GIU","077",0,25.4657167756,47.4372445179,1500,"circleSpruce",1405,20,274,3,2,"spruce"
2011,"ROM_GIU_078","new","Romania","Giumalau","Giumalau","GIU","78",0,25.4638535,47.43718984,500,"circleSpruce",1332,28,263,3,2,"spruce"
2016,"ROM_GIU_078","partial","Romania","Giumalau","Giumalau","GIU","078",0,25.4638315194,47.4372322911,1500,"circleSpruce",1329,28,263,3,2,"spruce"
2011,"ROM_GIU_091","new","Romania","Giumalau","Giumalau","GIU","91",0,25.465662,47.43815717,500,"circleSpruce",1389,29,330,3,1,"spruce"
2016,"ROM_GIU_091","partial","Romania","Giumalau","Giumalau","GIU","091",0,25.4654445356,47.4381288318,1500,"circleSpruce",1383,29,330,3,1,"spruce"
